ID_MEDICO,ID_SERVICIO
850137,Consultas medicas con especialistas
850138,Cirugía de corazón
850139,Remisión cardiólogo
850140,Consultas medicas con especialistas
850141,Consulta dolor cardiaco
850142,Hospitalización por infarto
850143,Consulta malestar general
850144,Jornadas de vacunacion
850145,Examen de sangre
850146,Consultas medicas con medico general
850147,Radiografias
850148,Consultas medicas con medico general
850149,Terapia post traumática
850150,Consulta dolor cardiaco
850151,Hospitalización por infarto
850152,Examenes de sangre
850153,Jornadas de vacunacion
850154,Examenes de sangre
850155,Terapia post traumática
850156,Consultas odontologicas
850157,Consultas medicas con medico general
850158,Consulta malestar general
850159,Remisión cardiólogo
850160,Jornadas de vacunacion
850161,Consulta malestar general
850162,Jornadas de vacunacion
850163,Terapia post traumática
850164,Consultas medicas con especialistas
850165,Examenes de sangre
850166,Consultas odontologicas
850167,Radiografias
850168,Hospitalización por infarto
850169,Consulta malestar general
850170,Terapia post traumática
850171,Examen de sangre
850172,Consultas odontologicas
850173,Consultas medicas con medico general
850174,Consulta dolor cardiaco
850175,Consultas medicas con especialistas
850176,Jornadas de vacunacion
850177,Terapia post traumática
850178,Consulta dolor cardiaco
850179,Jornadas de vacunacion
850180,Consultas odontologicas
850181,Consulta dolor cardiaco
850182,Radiografias
850183,Cirugía de corazón
850184,Radiografias
850185,Terapia post traumática
850186,Remisión cardiólogo
850187,Remisión cardiólogo
850188,Consultas odontologicas
850189,Consulta malestar general
850190,Consulta progreso de diabetes
850191,Examen de sangre
850192,Consultas medicas con especialistas
850193,Remisión cardiólogo
850194,Hospitalización por infarto
850195,Consulta dolor cardiaco
850196,Cirugía de corazón
850197,Cirugía de corazón
850198,Hospitalización por infarto
850199,Radiografias
850200,Cirugía de corazón
850201,Examen de sangre
850202,Examen de sangre
850203,Consultas medicas con especialistas
850204,Consultas odontologicas
850205,Examen de sangre
850206,Terapia post traumática
850207,Hospitalización por infarto
850208,Examenes de sangre
850209,Consultas odontologicas
850210,Hospitalización por infarto
850211,Consultas medicas con especialistas
850212,Consultas medicas con medico general
850213,Consultas medicas con medico general
850214,Examen de sangre
850215,Cirugía de corazón
850216,Radiografias
850217,Cirugía de corazón
850218,Cirugía de corazón
850219,Consultas medicas con medico general
850220,Jornadas de vacunacion
850221,Terapia post traumática
850222,Consultas medicas con especialistas
850223,Cirugía de corazón
850224,Consulta malestar general
850225,Radiografias
850226,Consulta malestar general
850227,Jornadas de vacunacion
850228,Radiografias
850229,Consultas medicas con especialistas
850230,Examen de sangre
850231,Consultas medicas con medico general
850232,Radiografias
850233,Consultas medicas con especialistas
850234,Hospitalización por infarto
850235,Consultas odontologicas
850236,Terapia post traumática
850237,Consulta dolor cardiaco
850238,Remisión cardiólogo
850239,Examen de sangre
850240,Consulta progreso de diabetes
850241,Consulta malestar general
850242,Consulta dolor cardiaco
850243,Remisión cardiólogo
850244,Radiografias
850245,Consulta dolor cardiaco
850246,Consultas medicas con medico general
850247,Remisión cardiólogo
850248,Consulta progreso de diabetes
850249,Hospitalización por infarto
850250,Remisión cardiólogo
850251,Terapia post traumática
850252,Terapia post traumática
850253,Radiografias
850254,Hospitalización por infarto
850255,Consultas medicas con especialistas
850256,Cirugía de corazón
850257,Consulta dolor cardiaco
850258,Consulta progreso de diabetes
850259,Examen de sangre
850260,Consultas medicas con medico general
850261,Consulta malestar general
850262,Remisión cardiólogo
850263,Consultas medicas con especialistas
850264,Examen de sangre
850265,Examenes de sangre
850266,Jornadas de vacunacion
850267,Consultas medicas con medico general
850268,Remisión cardiólogo
850269,Examen de sangre
850270,Consultas odontologicas
850271,Radiografias
850272,Consultas medicas con medico general
850273,Consultas medicas con especialistas
850274,Consulta progreso de diabetes
850275,Consulta progreso de diabetes
850276,Consultas medicas con medico general
850277,Radiografias
850278,Cirugía de corazón
850279,Cirugía de corazón
850280,Consultas odontologicas
850281,Terapia post traumática
850282,Consultas odontologicas
850283,Consulta malestar general
850284,Consultas medicas con especialistas
850285,Remisión cardiólogo
850286,Jornadas de vacunacion
850287,Consulta malestar general
850288,Examen de sangre
850289,Examen de sangre
850290,Hospitalización por infarto
850291,Hospitalización por infarto
850292,Consulta progreso de diabetes
850293,Radiografias
850294,Consultas odontologicas
850295,Consulta dolor cardiaco
850296,Hospitalización por infarto
850297,Consultas odontologicas
850298,Terapia post traumática
850299,Remisión cardiólogo
850300,Hospitalización por infarto
850301,Terapia post traumática
850302,Hospitalización por infarto
850303,Consulta dolor cardiaco
850304,Examenes de sangre
850305,Consultas medicas con medico general
850306,Examenes de sangre
850307,Terapia post traumática
850308,Consulta progreso de diabetes
850309,Consulta dolor cardiaco
850310,Cirugía de corazón
850311,Consultas medicas con medico general
850312,Remisión cardiólogo
850313,Terapia post traumática
850314,Cirugía de corazón
850315,Remisión cardiólogo
850316,Hospitalización por infarto
850317,Examen de sangre
850318,Consultas medicas con especialistas
850319,Hospitalización por infarto
850320,Radiografias
850321,Examen de sangre
850322,Terapia post traumática
850323,Examen de sangre
850324,Hospitalización por infarto
850325,Consultas medicas con especialistas
850326,Remisión cardiólogo
850327,Hospitalización por infarto
850328,Cirugía de corazón
850329,Terapia post traumática
850330,Consultas medicas con especialistas
850331,Consulta progreso de diabetes
850332,Consulta dolor cardiaco
850333,Consultas odontologicas
850334,Radiografias
850335,Terapia post traumática
850336,Consultas medicas con especialistas
850337,Consulta dolor cardiaco
850338,Consultas medicas con especialistas
850339,Consultas medicas con medico general
850340,Jornadas de vacunacion
850341,Jornadas de vacunacion
850342,Consulta dolor cardiaco
850343,Radiografias
850344,Remisión cardiólogo
850345,Consulta malestar general
850346,Terapia post traumática
850347,Consulta dolor cardiaco
850348,Examen de sangre
850349,Consultas medicas con medico general
850350,Terapia post traumática
850351,Remisión cardiólogo
850352,Consultas odontologicas
850353,Consultas medicas con medico general
850354,Consulta progreso de diabetes
850355,Consultas medicas con especialistas
850356,Cirugía de corazón
850357,Consulta malestar general
850358,Radiografias
850359,Consulta progreso de diabetes
850360,Terapia post traumática
850361,Consultas odontologicas
850362,Consultas medicas con especialistas
850363,Hospitalización por infarto
850364,Examenes de sangre
850365,Remisión cardiólogo
850366,Consultas medicas con medico general
850367,Hospitalización por infarto
850368,Radiografias
850369,Terapia post traumática
850370,Consultas medicas con especialistas
850371,Cirugía de corazón
850372,Radiografias
850373,Jornadas de vacunacion
850374,Consultas medicas con especialistas
850375,Cirugía de corazón
850376,Examenes de sangre
850377,Consultas medicas con medico general
850378,Consultas medicas con especialistas
850379,Consultas odontologicas
850380,Consulta malestar general
850381,Cirugía de corazón
850382,Consulta dolor cardiaco
850383,Jornadas de vacunacion
850384,Remisión cardiólogo
850385,Terapia post traumática
850386,Radiografias
850387,Examenes de sangre
850388,Consulta malestar general
850389,Consultas medicas con medico general
850390,Consulta malestar general
850391,Terapia post traumática
850392,Consultas medicas con especialistas
850393,Terapia post traumática
850394,Examen de sangre
850395,Hospitalización por infarto
850396,Consultas medicas con medico general
850397,Remisión cardiólogo
850398,Cirugía de corazón
850399,Consultas odontologicas
850400,Examen de sangre
850401,Radiografias
850402,Consultas medicas con medico general
850403,Consultas medicas con medico general
850404,Cirugía de corazón
850405,Jornadas de vacunacion
850406,Radiografias
850407,Terapia post traumática
850408,Consultas medicas con especialistas
850409,Remisión cardiólogo
850410,Terapia post traumática
850411,Consultas medicas con medico general
850412,Examenes de sangre
850413,Radiografias
850414,Cirugía de corazón
850415,Hospitalización por infarto
850416,Hospitalización por infarto
850417,Cirugía de corazón
850418,Examen de sangre
850419,Consulta dolor cardiaco
850420,Jornadas de vacunacion
850421,Consultas medicas con medico general
850422,Cirugía de corazón
850423,Consulta progreso de diabetes
850424,Radiografias
850425,Consultas medicas con medico general
850426,Examenes de sangre
850427,Radiografias
850428,Examen de sangre
850429,Consulta malestar general
850430,Hospitalización por infarto
850431,Consulta malestar general
850432,Consultas medicas con medico general
850433,Consultas odontologicas
850434,Examenes de sangre
850435,Consulta progreso de diabetes
850436,Consulta progreso de diabetes
850437,Examen de sangre
850438,Examen de sangre
850439,Consultas medicas con medico general
850440,Examenes de sangre
850441,Consulta dolor cardiaco
850442,Consulta dolor cardiaco
850443,Remisión cardiólogo
850444,Remisión cardiólogo
850445,Examenes de sangre
850446,Radiografias
850447,Examen de sangre
850448,Hospitalización por infarto
850449,Hospitalización por infarto
850450,Jornadas de vacunacion
850451,Consulta dolor cardiaco
850452,Consulta malestar general
850453,Consultas medicas con especialistas
850454,Terapia post traumática
850455,Consulta malestar general
850456,Consultas medicas con medico general
850457,Terapia post traumática
850458,Examenes de sangre
850459,Remisión cardiólogo
850460,Consulta malestar general
850461,Jornadas de vacunacion
850462,Consultas medicas con medico general
850463,Examenes de sangre
850464,Examen de sangre
850465,Consulta malestar general
850466,Examen de sangre
850467,Cirugía de corazón
850468,Consultas medicas con medico general
850469,Hospitalización por infarto
850470,Hospitalización por infarto
850471,Consultas medicas con especialistas
850472,Hospitalización por infarto
850473,Consulta malestar general
850474,Cirugía de corazón
850475,Jornadas de vacunacion
850476,Cirugía de corazón
850477,Cirugía de corazón
850478,Remisión cardiólogo
850479,Consultas medicas con medico general
850480,Consultas medicas con especialistas
850481,Terapia post traumática
850482,Radiografias
850483,Consultas odontologicas
850484,Consultas odontologicas
850485,Consulta dolor cardiaco
850486,Consulta malestar general
850487,Consulta progreso de diabetes
850488,Terapia post traumática
850489,Consulta dolor cardiaco
850490,Radiografias
850491,Examenes de sangre
850492,Consultas odontologicas
850493,Consulta malestar general
850494,Examenes de sangre
850495,Remisión cardiólogo
850496,Examenes de sangre
850497,Consultas medicas con especialistas
850498,Hospitalización por infarto
850499,Consultas odontologicas
850500,Examenes de sangre
850501,Cirugía de corazón
850502,Consulta malestar general
850503,Cirugía de corazón
850504,Consultas medicas con medico general
850505,Remisión cardiólogo
850506,Examen de sangre
850507,Consulta malestar general
850508,Jornadas de vacunacion
850509,Terapia post traumática
850510,Remisión cardiólogo
850511,Consulta progreso de diabetes
850512,Consultas medicas con medico general
850513,Consulta malestar general
850514,Consulta progreso de diabetes
850515,Examen de sangre
850516,Consulta dolor cardiaco
850517,Consulta dolor cardiaco
850518,Consultas odontologicas
850519,Cirugía de corazón
850520,Jornadas de vacunacion
850521,Remisión cardiólogo
850522,Consulta malestar general
850523,Consulta progreso de diabetes
850524,Jornadas de vacunacion
850525,Consulta progreso de diabetes
850526,Consultas odontologicas
850527,Consultas medicas con medico general
850528,Terapia post traumática
850529,Radiografias
850530,Consulta progreso de diabetes
850531,Examen de sangre
850532,Consultas odontologicas
850533,Consultas odontologicas
850534,Consulta malestar general
850535,Jornadas de vacunacion
850536,Consultas medicas con especialistas
850537,Examenes de sangre
850538,Consultas medicas con especialistas
850539,Consulta dolor cardiaco
850540,Jornadas de vacunacion
850541,Consulta malestar general
850542,Hospitalización por infarto
850543,Terapia post traumática
850544,Examenes de sangre
850545,Consultas medicas con medico general
850546,Consulta dolor cardiaco
850547,Consultas medicas con especialistas
850548,Radiografias
850549,Jornadas de vacunacion
850550,Cirugía de corazón
850551,Remisión cardiólogo
850552,Cirugía de corazón
850553,Consulta dolor cardiaco
850554,Consulta progreso de diabetes
850555,Remisión cardiólogo
850556,Hospitalización por infarto
850557,Jornadas de vacunacion
850558,Radiografias
850559,Terapia post traumática
850560,Cirugía de corazón
850561,Jornadas de vacunacion
850562,Consulta progreso de diabetes
850563,Consultas odontologicas
850564,Consultas medicas con medico general
850565,Hospitalización por infarto
850566,Radiografias
850567,Consulta malestar general
850568,Consultas medicas con medico general
850569,Consulta progreso de diabetes
850570,Remisión cardiólogo
850571,Consultas medicas con especialistas
850572,Remisión cardiólogo
850573,Examenes de sangre
850574,Cirugía de corazón
850575,Consultas medicas con medico general
850576,Consultas medicas con medico general
850577,Radiografias
850578,Hospitalización por infarto
850579,Consultas medicas con medico general
850580,Examen de sangre
850581,Hospitalización por infarto
850582,Examen de sangre
850583,Cirugía de corazón
850584,Consulta dolor cardiaco
850585,Consultas medicas con especialistas
850586,Examenes de sangre
850587,Consultas medicas con medico general
850588,Radiografias
850589,Consultas medicas con medico general
850590,Cirugía de corazón
850591,Examen de sangre
850592,Consultas odontologicas
850593,Radiografias
850594,Remisión cardiólogo
850595,Consultas medicas con especialistas
850596,Consulta progreso de diabetes
850597,Consultas medicas con especialistas
850598,Remisión cardiólogo
850599,Consultas medicas con medico general
850600,Consulta progreso de diabetes
850601,Remisión cardiólogo
850602,Consultas medicas con especialistas
850603,Jornadas de vacunacion
850604,Examenes de sangre
850605,Examenes de sangre
850606,Examen de sangre
850607,Examen de sangre
850608,Consulta dolor cardiaco
850609,Hospitalización por infarto
850610,Remisión cardiólogo
850611,Jornadas de vacunacion
850612,Consulta progreso de diabetes
850613,Hospitalización por infarto
850614,Examen de sangre
850615,Consultas medicas con especialistas
850616,Consultas medicas con especialistas
850617,Radiografias
850618,Terapia post traumática
850619,Consultas medicas con medico general
850620,Consultas medicas con medico general
850621,Hospitalización por infarto
850622,Examenes de sangre
850623,Consulta malestar general
850624,Consulta dolor cardiaco
850625,Terapia post traumática
850626,Cirugía de corazón
850627,Hospitalización por infarto
850628,Consulta progreso de diabetes
850629,Consulta dolor cardiaco
850630,Cirugía de corazón
850631,Hospitalización por infarto
850632,Consultas medicas con especialistas
850633,Remisión cardiólogo
850634,Consultas odontologicas
850635,Consultas medicas con especialistas
850636,Consulta progreso de diabetes
850637,Consultas medicas con medico general
850638,Terapia post traumática
850639,Consulta malestar general
850640,Terapia post traumática
850641,Consulta dolor cardiaco
850642,Remisión cardiólogo
850643,Jornadas de vacunacion
850644,Consulta progreso de diabetes
850645,Consultas medicas con medico general
850646,Examenes de sangre
850647,Consulta malestar general
850648,Consultas medicas con medico general
850649,Consulta malestar general
850650,Consultas medicas con medico general
850651,Consulta progreso de diabetes
850652,Remisión cardiólogo
850653,Jornadas de vacunacion
850654,Consulta progreso de diabetes
850655,Radiografias
850656,Terapia post traumática
850657,Consultas medicas con medico general
850658,Cirugía de corazón
850659,Terapia post traumática
850660,Consultas medicas con especialistas
850661,Consultas medicas con especialistas
850662,Cirugía de corazón
850663,Hospitalización por infarto
850664,Terapia post traumática
850665,Cirugía de corazón
850666,Radiografias
850667,Remisión cardiólogo
850668,Consulta malestar general
850669,Consultas medicas con especialistas
850670,Cirugía de corazón
850671,Radiografias
850672,Consultas odontologicas
850673,Remisión cardiólogo
850674,Consulta progreso de diabetes
850675,Consulta dolor cardiaco
850676,Remisión cardiólogo
850677,Radiografias
850678,Consulta progreso de diabetes
850679,Examen de sangre
850680,Hospitalización por infarto
850681,Radiografias
850682,Remisión cardiólogo
850683,Examen de sangre
850684,Remisión cardiólogo
850685,Examenes de sangre
850686,Terapia post traumática
850687,Remisión cardiólogo
850688,Consultas medicas con medico general
850689,Consulta malestar general
850690,Consultas odontologicas
850691,Hospitalización por infarto
850692,Consulta dolor cardiaco
850693,Remisión cardiólogo
850694,Radiografias
850695,Hospitalización por infarto
850696,Consulta malestar general
850697,Consultas medicas con especialistas
850698,Consultas medicas con especialistas
850699,Jornadas de vacunacion
850700,Consulta malestar general
850701,Consulta malestar general
850702,Consulta dolor cardiaco
850703,Cirugía de corazón
850704,Cirugía de corazón
850705,Consulta dolor cardiaco
850706,Consulta dolor cardiaco
850707,Consultas medicas con medico general
850708,Terapia post traumática
850709,Consultas medicas con especialistas
850710,Cirugía de corazón
850711,Consultas medicas con medico general
850712,Radiografias
850713,Remisión cardiólogo
850714,Remisión cardiólogo
850715,Radiografias
850716,Consulta dolor cardiaco
850717,Consultas odontologicas
850718,Consultas medicas con medico general
850719,Cirugía de corazón
850720,Consulta dolor cardiaco
850721,Consulta malestar general
850722,Remisión cardiólogo
850723,Radiografias
850724,Terapia post traumática
850725,Consultas medicas con medico general
850726,Consultas medicas con especialistas
850727,Radiografias
850728,Terapia post traumática
850729,Jornadas de vacunacion
850730,Consultas odontologicas
850731,Consultas odontologicas
850732,Examenes de sangre
850733,Consulta malestar general
850734,Consultas odontologicas
850735,Cirugía de corazón
850736,Cirugía de corazón
850737,Consultas medicas con especialistas
850738,Consultas medicas con medico general
850739,Terapia post traumática
850740,Consultas medicas con especialistas
850741,Consulta dolor cardiaco
850742,Examen de sangre
850743,Consulta dolor cardiaco
850744,Consultas medicas con especialistas
850745,Consultas odontologicas
850746,Cirugía de corazón
850747,Jornadas de vacunacion
850748,Consulta malestar general
850749,Consulta malestar general
850750,Consultas medicas con especialistas
850751,Remisión cardiólogo
850752,Examenes de sangre
850753,Hospitalización por infarto
850754,Hospitalización por infarto
850755,Examenes de sangre
850756,Radiografias
850757,Examenes de sangre
850758,Consulta progreso de diabetes
850759,Jornadas de vacunacion
850760,Cirugía de corazón
850761,Consulta progreso de diabetes
850762,Consulta progreso de diabetes
850763,Radiografias
850764,Hospitalización por infarto
850765,Consulta progreso de diabetes
850766,Consultas odontologicas
850767,Terapia post traumática
850768,Examenes de sangre
850769,Remisión cardiólogo
850770,Terapia post traumática
850771,Examen de sangre
850772,Hospitalización por infarto
850773,Remisión cardiólogo
850774,Cirugía de corazón
850775,Radiografias
850776,Radiografias
850777,Consultas medicas con especialistas
850778,Hospitalización por infarto
850779,Consultas odontologicas
850780,Consultas medicas con especialistas
850781,Remisión cardiólogo
850782,Cirugía de corazón
850783,Hospitalización por infarto
850784,Examen de sangre
850785,Remisión cardiólogo
850786,Jornadas de vacunacion
850787,Examen de sangre
850788,Remisión cardiólogo
850789,Hospitalización por infarto
850790,Terapia post traumática
850791,Terapia post traumática
850792,Remisión cardiólogo
850793,Jornadas de vacunacion
850794,Consulta progreso de diabetes
850795,Hospitalización por infarto
850796,Hospitalización por infarto
850797,Jornadas de vacunacion
850798,Consultas medicas con medico general
850799,Radiografias
850800,Consulta progreso de diabetes
850801,Consultas medicas con especialistas
850802,Examen de sangre
850803,Terapia post traumática
850804,Examen de sangre
850805,Hospitalización por infarto
850806,Consultas medicas con especialistas
850807,Consultas odontologicas
850808,Radiografias
850809,Remisión cardiólogo
850810,Consulta progreso de diabetes
850811,Consulta malestar general
850812,Terapia post traumática
850813,Consultas medicas con medico general
850814,Cirugía de corazón
850815,Examen de sangre
850816,Examen de sangre
850817,Examenes de sangre
850818,Cirugía de corazón
850819,Hospitalización por infarto
850820,Hospitalización por infarto
850821,Consultas medicas con medico general
850822,Jornadas de vacunacion
850823,Examenes de sangre
850824,Consultas odontologicas
850825,Examen de sangre
850826,Consulta malestar general
850827,Radiografias
850828,Remisión cardiólogo
850829,Terapia post traumática
850830,Examen de sangre
850831,Jornadas de vacunacion
850832,Consulta malestar general
850833,Cirugía de corazón
850834,Consulta malestar general
850835,Hospitalización por infarto
850836,Consulta dolor cardiaco
850837,Consultas odontologicas
850838,Examen de sangre
850839,Remisión cardiólogo
850840,Examen de sangre
850841,Consulta progreso de diabetes
850842,Examen de sangre
850843,Consulta dolor cardiaco
850844,Consulta progreso de diabetes
850845,Cirugía de corazón
850846,Consultas odontologicas
850847,Radiografias
850848,Examen de sangre
850849,Consulta malestar general
850850,Cirugía de corazón
850851,Consultas medicas con especialistas
850852,Consulta dolor cardiaco
850853,Hospitalización por infarto
850854,Examen de sangre
850855,Consultas medicas con medico general
850856,Consultas odontologicas
850857,Terapia post traumática
850858,Cirugía de corazón
850859,Consultas medicas con especialistas
850860,Consultas medicas con especialistas
850861,Hospitalización por infarto
850862,Remisión cardiólogo
850863,Consulta malestar general
850864,Consulta progreso de diabetes
850865,Consultas medicas con medico general
850866,Radiografias
850867,Consultas medicas con medico general
850868,Hospitalización por infarto
850869,Consultas medicas con medico general
850870,Terapia post traumática
850871,Radiografias
850872,Examen de sangre
850873,Consultas medicas con medico general
850874,Hospitalización por infarto
850875,Remisión cardiólogo
850876,Remisión cardiólogo
850877,Radiografias
850878,Consulta malestar general
850879,Consultas medicas con medico general
850880,Terapia post traumática
850881,Consulta dolor cardiaco
850882,Hospitalización por infarto
850883,Examenes de sangre
850884,Examenes de sangre
850885,Hospitalización por infarto
850886,Examen de sangre
850887,Consulta malestar general
850888,Consultas medicas con medico general
850889,Remisión cardiólogo
850890,Consultas medicas con medico general
850891,Consultas medicas con especialistas
850892,Consulta dolor cardiaco
850893,Cirugía de corazón
850894,Remisión cardiólogo
850895,Hospitalización por infarto
850896,Consulta malestar general
850897,Consultas medicas con especialistas
850898,Remisión cardiólogo
850899,Remisión cardiólogo
850900,Examenes de sangre
850901,Radiografias
850902,Radiografias
850903,Terapia post traumática
850904,Consultas odontologicas
850905,Consultas medicas con especialistas
850906,Radiografias
850907,Consultas medicas con especialistas
850908,Consulta malestar general
850909,Radiografias
850910,Radiografias
850911,Consulta progreso de diabetes
850912,Jornadas de vacunacion
850913,Cirugía de corazón
850914,Examen de sangre
850915,Consulta progreso de diabetes
850916,Hospitalización por infarto
850917,Cirugía de corazón
850918,Remisión cardiólogo
850919,Terapia post traumática
850920,Cirugía de corazón
850921,Remisión cardiólogo
850922,Cirugía de corazón
850923,Consultas medicas con especialistas
850924,Cirugía de corazón
850925,Terapia post traumática
850926,Terapia post traumática
850927,Cirugía de corazón
850928,Consultas odontologicas
850929,Examenes de sangre
850930,Hospitalización por infarto
850931,Examen de sangre
850932,Consultas odontologicas
850933,Examenes de sangre
850934,Terapia post traumática
850935,Consultas odontologicas
850936,Consulta malestar general
850937,Remisión cardiólogo
850938,Consultas odontologicas
850939,Consulta dolor cardiaco
850940,Consulta malestar general
850941,Consulta dolor cardiaco
850942,Examen de sangre
850943,Examenes de sangre
850944,Consultas medicas con especialistas
850945,Consultas medicas con medico general
850946,Cirugía de corazón
850947,Remisión cardiólogo
850948,Examen de sangre
850949,Remisión cardiólogo
850950,Examen de sangre
850951,Radiografias
850952,Consulta dolor cardiaco
850953,Remisión cardiólogo
850954,Hospitalización por infarto
850955,Remisión cardiólogo
850956,Cirugía de corazón
850957,Hospitalización por infarto
850958,Hospitalización por infarto
850959,Jornadas de vacunacion
850960,Consulta progreso de diabetes
850961,Consulta malestar general
850962,Consultas medicas con especialistas
850963,Jornadas de vacunacion
850964,Terapia post traumática
850965,Consulta malestar general
850966,Radiografias
850967,Hospitalización por infarto
850968,Consultas odontologicas
850969,Examen de sangre
850970,Consultas medicas con especialistas
850971,Cirugía de corazón
850972,Remisión cardiólogo
850973,Examenes de sangre
850974,Consulta dolor cardiaco
850975,Consulta progreso de diabetes
850976,Consultas odontologicas
850977,Terapia post traumática
850978,Cirugía de corazón
850979,Terapia post traumática
850980,Consulta progreso de diabetes
850981,Remisión cardiólogo
850982,Consulta malestar general
850983,Jornadas de vacunacion
850984,Consulta progreso de diabetes
850985,Consultas medicas con especialistas
850986,Consultas odontologicas
850987,Consulta malestar general
850988,Consultas odontologicas
850989,Hospitalización por infarto
850990,Hospitalización por infarto
850991,Consultas medicas con medico general
850992,Hospitalización por infarto
850993,Remisión cardiólogo
850994,Consultas medicas con medico general
850995,Consultas odontologicas
850996,Consulta malestar general
850997,Remisión cardiólogo
850998,Consulta dolor cardiaco
850999,Examenes de sangre
851000,Consultas medicas con medico general
851001,Jornadas de vacunacion
851002,Hospitalización por infarto
851003,Consulta dolor cardiaco
851004,Examen de sangre
851005,Remisión cardiólogo
851006,Consultas medicas con medico general
851007,Consulta progreso de diabetes
851008,Consultas medicas con especialistas
851009,Hospitalización por infarto
851010,Hospitalización por infarto
851011,Consulta dolor cardiaco
851012,Remisión cardiólogo
851013,Radiografias
851014,Consulta malestar general
851015,Consultas medicas con especialistas
851016,Consulta malestar general
851017,Consulta malestar general
851018,Jornadas de vacunacion
851019,Consulta progreso de diabetes
851020,Jornadas de vacunacion
851021,Cirugía de corazón
851022,Cirugía de corazón
851023,Radiografias
851024,Hospitalización por infarto
851025,Radiografias
851026,Consulta malestar general
851027,Consulta dolor cardiaco
851028,Consultas odontologicas
851029,Hospitalización por infarto
851030,Consultas medicas con especialistas
851031,Consulta dolor cardiaco
851032,Consulta progreso de diabetes
851033,Consulta malestar general
851034,Terapia post traumática
851035,Examenes de sangre
851036,Consultas medicas con medico general
851037,Consultas medicas con medico general
851038,Radiografias
851039,Hospitalización por infarto
851040,Consulta progreso de diabetes
