ID_SERVICIO;DURACION;HORAINICIO;DIA;ID_IPS;CAPACIDAD;CANCELADA;CAPACIDADMAX
Consulta dolor cardiaco;30;9:38:08;23/04/2015 11:33:14;IPS266;14;0;50
Consultas odontologicas;29;9:59:29;13/04/2016 09:47:42;IPS74;14;0;50
Terapia post traumática;20;4:58:35;10/08/2014 07:35:00;IPS488;14;0;50
Consultas medicas con especialistas;32;8:59:12;06/11/2013 06:27:21;IPS76;14;0;50
Consultas odontologicas;24;8:20:55;24/08/2017 06:29:27;IPS308;14;0;50
Consulta malestar general;38;5:30:28;16/12/2011 12:31:11;IPS329;14;0;50
Consulta malestar general;25;5:21:31;29/11/2016 04:51:10;IPS265;14;0;50
Radiografias;29;5:49:14;29/04/2018 04:14:27;IPS388;14;0;50
Jornadas de vacunacion;28;10:49:50;18/11/2018 11:33:45;IPS138;14;0;50
Consultas medicas con medico general;42;6:21:36;07/08/2015 06:14:04;IPS114;14;0;50
Examen de sangre;38;6:51:18;02/05/2012 11:48:44;IPS273;14;0;50
Jornadas de vacunacion;22;10:48:27;15/08/2012 01:56:12;IPS325;14;0;50
Cirugía de corazón;32;12:19:53;07/06/2011 03:39:43;IPS414;14;0;50
Consulta progreso de diabetes;22;4:06:47;17/03/2013 09:07:53;IPS243;14;0;50
Examenes de sangre;24;1:12:10;06/09/2016 09:03:37;IPS297;14;0;50
Jornadas de vacunacion;29;10:33:30;03/03/2012 04:27:14;IPS386;14;0;50
Examen de sangre;28;2:03:12;29/02/2016 01:05:19;IPS35;14;0;50
Consultas odontologicas;24;2:35:40;23/09/2011 01:35:03;IPS345;14;0;50
Consulta malestar general;29;2:11:28;27/03/2016 06:44:57;IPS263;14;0;50
Consultas odontologicas;43;2:58:30;28/06/2019 01:52:03;IPS439;14;0;50
Radiografias;17;7:46:53;30/01/2016 07:54:12;IPS383;14;0;50
Examen de sangre;38;11:53:18;18/12/2014 06:54:28;IPS414;14;0;50
Radiografias;42;10:38:24;01/04/2014 01:34:04;IPS391;14;0;50
Jornadas de vacunacion;40;8:14:00;28/05/2017 09:29:30;IPS446;14;0;50
Terapia post traumática;37;5:36:49;30/11/2011 09:07:45;IPS190;14;0;50
Jornadas de vacunacion;31;5:03:11;18/12/2018 09:51:37;IPS211;14;0;50
Radiografias;31;3:43:00;09/03/2017 11:33:57;IPS148;14;0;50
Examen de sangre;44;8:28:40;09/05/2013 02:30:01;IPS200;14;0;50
Remisión cardiólogo;39;11:40:26;21/11/2016 03:58:03;IPS107;14;0;50
Consulta progreso de diabetes;41;5:15:09;15/08/2013 02:35:49;IPS261;14;0;50
Consulta progreso de diabetes;44;10:53:56;19/12/2012 09:10:57;IPS114;14;0;50
Consultas medicas con especialistas;23;10:00:49;22/06/2012 01:52:45;IPS190;14;0;50
Hospitalización por infarto;22;7:06:57;24/07/2012 03:24:42;IPS68;14;0;50
Hospitalización por infarto;42;6:42:53;04/07/2014 05:30:41;IPS89;14;0;50
Hospitalización por infarto;18;5:40:22;03/09/2013 12:04:34;IPS216;14;0;50
Radiografias;43;7:45:54;09/07/2010 09:29:20;IPS164;14;0;50
Jornadas de vacunacion;21;5:15:49;11/03/2018 10:49:30;IPS29;14;0;50
Cirugía de corazón;25;12:06:15;28/06/2012 07:10:36;IPS253;14;0;50
Jornadas de vacunacion;15;6:14:14;07/04/2013 01:13:06;IPS457;14;0;50
Consulta malestar general;32;4:20:36;05/09/2017 05:37:54;IPS259;14;0;50
Cirugía de corazón;37;12:29:09;17/04/2017 12:56:58;IPS338;14;0;50
Examenes de sangre;15;12:31:41;22/08/2015 04:02:43;IPS281;14;0;50
Hospitalización por infarto;42;2:33:20;17/07/2019 12:09:19;IPS261;14;0;50
Cirugía de corazón;36;2:24:40;29/08/2018 06:21:11;IPS99;14;0;50
Consultas medicas con especialistas;17;10:27:10;14/12/2009 07:43:52;IPS136;14;0;50
Hospitalización por infarto;31;5:27:32;04/09/2014 09:00:18;IPS71;14;0;50
Radiografias;22;12:45:16;03/12/2018 01:48:47;IPS157;14;0;50
Radiografias;19;8:48:21;16/04/2013 11:36:57;IPS234;14;0;50
Remisión cardiólogo;34;4:44:05;08/07/2017 04:49:37;IPS17;14;0;50
Jornadas de vacunacion;23;2:36:44;07/05/2016 07:01:50;IPS214;14;0;50
Examen de sangre;27;12:46:22;07/06/2017 07:50:05;IPS355;14;0;50
Examenes de sangre;38;1:47:29;05/01/2016 04:51:15;IPS101;14;0;50
Consultas medicas con especialistas;17;11:57:49;22/11/2017 02:41:26;IPS479;14;0;50
Hospitalización por infarto;26;5:20:15;19/03/2012 05:49:41;IPS484;14;0;50
Radiografias;42;5:44:16;08/04/2017 02:05:41;IPS293;14;0;50
Terapia post traumática;37;1:48:48;23/01/2016 11:20:04;IPS410;14;0;50
Examenes de sangre;35;5:46:51;23/02/2019 12:22:43;IPS35;14;0;50
Examen de sangre;40;12:46:05;23/01/2013 05:02:14;IPS97;14;0;50
Terapia post traumática;29;4:03:55;29/01/2014 03:03:56;IPS435;14;0;50
Examenes de sangre;38;12:04:20;01/08/2016 09:05:44;IPS429;14;0;50
Jornadas de vacunacion;33;11:27:25;23/08/2017 10:26:35;IPS315;14;0;50
Consulta progreso de diabetes;31;2:17:01;22/12/2016 12:33:56;IPS313;14;0;50
Consulta malestar general;32;4:14:09;04/06/2017 06:32:19;IPS23;14;0;50
Jornadas de vacunacion;30;7:59:25;11/09/2012 07:01:40;IPS362;14;0;50
Consultas medicas con especialistas;38;1:03:19;04/02/2014 11:56:35;IPS165;14;0;50
Cirugía de corazón;24;1:54:38;14/04/2017 07:10:57;IPS328;14;0;50
Jornadas de vacunacion;28;4:40:49;12/04/2013 08:39:28;IPS3;14;0;50
Cirugía de corazón;30;2:52:48;02/10/2015 08:07:06;IPS300;14;0;50
Consulta progreso de diabetes;22;3:00:06;10/01/2015 11:33:39;IPS287;14;0;50
Jornadas de vacunacion;38;1:16:30;27/04/2018 01:26:10;IPS114;14;0;50
Consultas odontologicas;21;11:20:27;22/12/2018 02:53:21;IPS230;14;0;50
Consulta progreso de diabetes;19;1:56:55;10/05/2013 10:21:36;IPS388;14;0;50
Jornadas de vacunacion;28;10:02:35;05/03/2016 05:01:05;IPS311;14;0;50
Radiografias;45;9:08:47;04/09/2013 08:48:44;IPS6;14;0;50
Consultas medicas con medico general;38;7:00:00;08/07/2016 01:59:50;IPS17;14;0;50
Consulta dolor cardiaco;37;8:53:24;22/04/2015 11:45:28;IPS237;14;0;50
Consulta dolor cardiaco;15;2:28:39;12/07/2013 09:52:05;IPS204;14;0;50
Examenes de sangre;25;8:18:08;21/03/2015 01:01:03;IPS103;14;0;50
Hospitalización por infarto;19;3:51:58;22/04/2010 06:13:32;IPS22;14;0;50
Examenes de sangre;30;5:07:44;22/08/2013 05:47:04;IPS72;14;0;50
Terapia post traumática;17;11:22:20;19/11/2013 11:14:28;IPS450;14;0;50
Radiografias;15;7:56:11;04/03/2011 06:08:24;IPS318;14;0;50
Examen de sangre;37;10:48:14;18/09/2012 12:24:35;IPS484;14;0;50
Terapia post traumática;21;10:32:03;24/11/2017 10:58:59;IPS127;14;0;50
Consultas medicas con especialistas;16;6:49:30;15/02/2012 11:55:39;IPS86;14;0;50
Consultas odontologicas;21;6:46:27;29/03/2018 12:03:43;IPS155;14;0;50
Terapia post traumática;21;5:06:40;01/02/2018 04:51:18;IPS345;14;0;50
Consultas odontologicas;44;10:44:42;17/04/2016 11:27:37;IPS56;14;0;50
Consulta malestar general;23;5:23:21;18/06/2011 09:03:45;IPS240;14;0;50
Consulta malestar general;36;8:54:52;11/08/2014 09:05:34;IPS430;14;0;50
Consulta dolor cardiaco;16;12:38:37;06/03/2019 05:20:21;IPS317;14;0;50
Consulta malestar general;19;10:33:43;27/06/2014 12:10:45;IPS90;14;0;50
Cirugía de corazón;43;6:16:48;02/01/2012 05:26:47;IPS201;14;0;50
Cirugía de corazón;37;8:02:50;24/06/2010 12:15:50;IPS421;14;0;50
Consulta malestar general;43;7:51:34;20/11/2015 05:58:15;IPS218;14;0;50
Jornadas de vacunacion;15;5:11:21;08/01/2014 04:52:42;IPS207;14;0;50
Consultas odontologicas;40;7:14:08;15/05/2011 07:16:54;IPS166;14;0;50
Radiografias;30;1:23:00;05/12/2013 03:09:41;IPS201;14;0;50
Consulta dolor cardiaco;41;6:36:20;30/05/2014 05:52:18;IPS340;14;0;50
Examen de sangre;15;2:42:33;02/06/2011 07:15:55;IPS326;14;0;50
Consulta dolor cardiaco;42;1:37:53;01/10/2013 11:36:33;IPS288;14;0;50
Consultas odontologicas;33;12:23:18;17/08/2016 07:44:23;IPS256;14;0;50
Examen de sangre;24;2:31:18;18/04/2010 10:22:49;IPS134;14;0;50
Jornadas de vacunacion;22;5:25:26;03/04/2019 08:22:17;IPS363;14;0;50
Radiografias;17;5:54:03;19/02/2014 09:03:32;IPS151;14;0;50
Remisión cardiólogo;39;10:51:55;09/02/2014 10:45:10;IPS468;14;0;50
Hospitalización por infarto;18;1:55:24;23/06/2018 01:52:23;IPS5;14;0;50
Examenes de sangre;31;1:49:33;18/04/2011 08:38:34;IPS180;14;0;50
Examenes de sangre;34;1:46:49;04/10/2017 09:53:31;IPS474;14;0;50
Hospitalización por infarto;44;8:01:28;13/12/2018 06:16:06;IPS401;14;0;50
Consulta progreso de diabetes;34;1:10:15;11/03/2015 07:40:35;IPS19;14;0;50
Jornadas de vacunacion;42;2:27:23;14/03/2016 12:11:48;IPS289;14;0;50
Cirugía de corazón;25;7:28:13;13/11/2012 03:15:51;IPS187;14;0;50
Examen de sangre;22;9:55:30;06/03/2012 07:41:53;IPS59;14;0;50
Examenes de sangre;26;5:39:18;02/12/2017 07:04:48;IPS293;14;0;50
Hospitalización por infarto;22;1:38:12;29/03/2011 03:39:20;IPS13;14;0;50
Radiografias;36;6:11:54;01/10/2016 07:20:00;IPS378;14;0;50
Jornadas de vacunacion;15;8:23:13;16/06/2012 08:57:37;IPS64;14;0;50
Consulta progreso de diabetes;15;3:19:18;09/10/2019 05:27:03;IPS149;14;0;50
Consulta dolor cardiaco;34;2:55:36;19/02/2016 10:22:02;IPS51;14;0;50
Cirugía de corazón;27;3:50:26;23/06/2017 03:24:04;IPS73;14;0;50
Radiografias;24;1:27:45;15/12/2013 04:16:59;IPS248;14;0;50
Consulta progreso de diabetes;44;6:44:48;12/10/2016 04:29:17;IPS237;14;0;50
Radiografias;43;1:54:55;14/03/2017 08:36:01;IPS159;14;0;50
Radiografias;17;8:33:32;07/04/2018 10:49:00;IPS117;14;0;50
Examen de sangre;15;8:12:18;06/07/2011 06:10:04;IPS461;14;0;50
Consultas medicas con especialistas;29;7:38:09;15/04/2017 05:49:51;IPS472;14;0;50
Consulta dolor cardiaco;23;12:40:44;02/08/2016 04:46:53;IPS387;14;0;50
Consultas medicas con medico general;34;1:50:41;14/12/2014 05:36:27;IPS185;14;0;50
Examen de sangre;20;8:48:41;31/05/2018 08:54:25;IPS410;14;0;50
Jornadas de vacunacion;42;4:06:31;29/05/2013 05:33:24;IPS17;14;0;50
Consultas medicas con especialistas;39;1:06:59;01/06/2019 11:46:32;IPS424;14;0;50
Consulta dolor cardiaco;26;1:47:36;14/11/2012 09:19:55;IPS452;14;0;50
Radiografias;21;9:29:39;03/02/2014 03:08:04;IPS494;14;0;50
Cirugía de corazón;22;3:14:38;11/07/2016 06:54:23;IPS35;14;0;50
Terapia post traumática;43;1:25:39;08/05/2019 05:58:11;IPS228;14;0;50
Consulta dolor cardiaco;22;8:44:33;18/08/2013 05:18:07;IPS71;14;0;50
Consulta malestar general;28;2:42:27;17/12/2013 12:34:02;IPS95;14;0;50
Terapia post traumática;23;1:25:18;12/04/2016 04:11:10;IPS112;14;0;50
Examenes de sangre;43;2:44:18;17/08/2010 11:20:24;IPS61;14;0;50
Consultas medicas con medico general;17;9:11:00;10/04/2016 06:14:46;IPS159;14;0;50
Consultas medicas con medico general;25;2:43:00;22/10/2017 12:31:38;IPS364;14;0;50
Consulta progreso de diabetes;15;7:57:34;10/09/2010 11:42:03;IPS282;14;0;50
Hospitalización por infarto;36;10:53:30;04/11/2018 04:30:22;IPS253;14;0;50
Terapia post traumática;39;8:13:01;13/06/2019 09:52:09;IPS90;14;0;50
Consultas medicas con especialistas;33;7:33:39;25/01/2018 12:16:35;IPS332;14;0;50
Examenes de sangre;21;10:19:28;01/12/2010 01:35:53;IPS96;14;0;50
Remisión cardiólogo;41;1:19:36;22/05/2015 02:20:51;IPS170;14;0;50
Consultas medicas con especialistas;42;3:35:53;14/09/2018 04:39:53;IPS359;14;0;50
Consulta malestar general;26;8:51:08;17/04/2019 05:30:59;IPS51;14;0;50
Consultas medicas con especialistas;27;4:29:26;16/01/2019 03:18:51;IPS166;14;0;50
Consultas medicas con especialistas;33;7:14:07;17/12/2013 04:46:50;IPS124;14;0;50
Jornadas de vacunacion;22;3:27:47;25/12/2010 05:32:16;IPS148;14;0;50
Terapia post traumática;22;8:49:08;02/07/2014 04:47:14;IPS448;14;0;50
Consulta dolor cardiaco;27;5:09:13;28/09/2017 11:22:55;IPS70;14;0;50
Consultas odontologicas;41;6:22:21;23/08/2011 08:24:11;IPS127;14;0;50
Cirugía de corazón;30;5:20:47;02/04/2011 05:58:17;IPS349;14;0;50
Jornadas de vacunacion;27;8:26:14;05/09/2018 08:34:57;IPS484;14;0;50
Consultas odontologicas;26;12:07:43;17/02/2011 07:48:09;IPS218;14;0;50
Terapia post traumática;29;10:40:46;04/06/2013 04:08:20;IPS179;14;0;50
Terapia post traumática;28;11:35:32;25/10/2010 09:15:30;IPS21;14;0;50
Consultas odontologicas;35;1:31:53;25/04/2013 10:39:00;IPS34;14;0;50
Examen de sangre;15;3:05:38;18/11/2014 09:18:56;IPS10;14;0;50
Consulta dolor cardiaco;23;4:32:33;25/03/2015 05:34:15;IPS439;14;0;50
Consultas odontologicas;16;2:18:57;29/03/2019 06:47:23;IPS390;14;0;50
Consulta malestar general;22;10:49:11;11/08/2015 04:44:28;IPS188;14;0;50
Consultas medicas con especialistas;42;4:54:36;26/12/2016 04:41:33;IPS379;14;0;50
Radiografias;35;4:04:38;08/10/2013 11:50:20;IPS362;14;0;50
Consultas odontologicas;33;5:12:46;20/09/2010 05:48:31;IPS165;14;0;50
Consultas odontologicas;39;9:03:54;12/10/2011 08:24:30;IPS449;14;0;50
Consultas medicas con medico general;20;7:53:06;06/02/2013 10:44:41;IPS428;14;0;50
Consultas medicas con medico general;38;4:20:59;25/02/2011 11:08:48;IPS125;14;0;50
Consulta malestar general;19;10:44:53;02/08/2011 02:48:01;IPS494;14;0;50
Consulta dolor cardiaco;26;10:49:49;27/01/2012 05:10:02;IPS105;14;0;50
Terapia post traumática;29;6:14:22;06/12/2011 10:22:21;IPS259;14;0;50
Examenes de sangre;39;3:30:20;31/05/2018 07:52:09;IPS468;14;0;50
Consultas medicas con especialistas;31;3:35:02;10/12/2015 08:46:19;IPS320;14;0;50
Consultas odontologicas;41;12:40:17;10/03/2015 08:33:15;IPS26;14;0;50
Radiografias;30;1:25:35;27/11/2017 08:24:42;IPS385;14;0;50
Consultas medicas con especialistas;31;6:36:11;16/05/2013 08:45:30;IPS189;14;0;50
Terapia post traumática;43;8:54:17;07/06/2010 06:57:32;IPS431;14;0;50
Consultas odontologicas;27;1:19:15;28/12/2016 10:23:21;IPS347;14;0;50
Consultas medicas con especialistas;19;11:17:41;22/03/2015 11:23:02;IPS120;14;0;50
Consultas medicas con especialistas;34;6:00:39;23/05/2010 03:50:21;IPS92;14;0;50
Hospitalización por infarto;42;7:54:02;17/10/2017 06:46:02;IPS55;14;0;50
Examen de sangre;27;11:56:46;30/12/2017 11:45:35;IPS371;14;0;50
Examenes de sangre;44;4:05:02;13/09/2019 08:42:19;IPS480;14;0;50
Consultas medicas con medico general;16;3:42:13;08/06/2015 08:49:28;IPS287;14;0;50
Consulta malestar general;15;1:09:49;18/10/2010 09:32:26;IPS288;14;0;50
Hospitalización por infarto;30;8:09:45;31/05/2016 07:05:16;IPS467;14;0;50
Remisión cardiólogo;21;9:35:35;23/05/2013 01:59:10;IPS404;14;0;50
Consulta dolor cardiaco;39;6:46:43;26/03/2016 10:32:15;IPS472;14;0;50
Hospitalización por infarto;30;8:05:46;17/01/2017 10:46:29;IPS421;14;0;50
Jornadas de vacunacion;35;5:16:44;17/10/2015 01:47:44;IPS125;14;0;50
Examenes de sangre;38;3:52:13;27/10/2014 06:29:20;IPS279;14;0;50
Consulta malestar general;17;9:25:41;06/06/2014 01:13:59;IPS70;14;0;50
Radiografias;35;1:43:53;07/05/2017 11:59:11;IPS405;14;0;50
Consulta progreso de diabetes;34;6:15:12;14/05/2016 04:08:04;IPS478;14;0;50
Consulta dolor cardiaco;21;1:12:09;16/08/2011 04:59:10;IPS262;14;0;50
Cirugía de corazón;28;2:06:57;05/07/2013 04:35:26;IPS195;14;0;50
Examenes de sangre;40;11:50:43;16/04/2019 08:48:55;IPS409;14;0;50
Cirugía de corazón;31;1:05:27;11/10/2019 09:48:59;IPS247;14;0;50
Radiografias;17;10:34:02;15/01/2013 01:27:20;IPS136;14;0;50
Hospitalización por infarto;24;10:23:14;05/09/2010 07:33:39;IPS361;14;0;50
Radiografias;37;6:40:02;19/08/2018 10:29:55;IPS381;14;0;50
Examen de sangre;18;10:39:02;09/03/2017 12:12:10;IPS123;14;0;50
Hospitalización por infarto;40;10:22:05;10/08/2019 09:17:30;IPS310;14;0;50
Cirugía de corazón;25;3:20:16;05/09/2018 01:42:12;IPS160;14;0;50
Jornadas de vacunacion;25;9:52:09;15/07/2011 04:06:45;IPS18;14;0;50
Remisión cardiólogo;44;8:36:38;18/02/2016 11:36:05;IPS213;14;0;50
Consultas medicas con especialistas;45;4:35:52;23/12/2012 10:43:54;IPS267;14;0;50
Examenes de sangre;44;8:32:04;21/07/2015 11:12:30;IPS88;14;0;50
Consultas medicas con medico general;24;1:21:54;19/12/2014 03:21:59;IPS254;14;0;50
Consulta dolor cardiaco;45;3:26:42;27/12/2014 03:30:04;IPS143;14;0;50
Consultas medicas con especialistas;30;7:53:58;10/11/2010 01:17:35;IPS226;14;0;50
Hospitalización por infarto;33;2:02:36;11/11/2014 04:10:05;IPS189;14;0;50
Consultas odontologicas;16;10:19:56;13/11/2015 08:31:40;IPS468;14;0;50
Consultas odontologicas;27;2:20:12;23/04/2019 09:51:26;IPS389;14;0;50
Consultas odontologicas;34;1:06:24;22/08/2016 12:07:09;IPS156;14;0;50
Consultas medicas con especialistas;30;7:21:57;01/03/2011 06:33:58;IPS383;14;0;50
Consultas medicas con medico general;20;8:06:54;15/03/2013 05:34:40;IPS401;14;0;50
Remisión cardiólogo;21;12:23:19;25/12/2016 05:05:56;IPS227;14;0;50
Hospitalización por infarto;39;6:17:57;05/11/2011 05:55:38;IPS62;14;0;50
Consulta dolor cardiaco;23;1:29:07;29/11/2017 11:56:42;IPS122;14;0;50
Consulta malestar general;40;4:16:15;04/07/2016 05:55:44;IPS150;14;0;50
Consultas medicas con especialistas;27;8:16:27;14/04/2017 03:53:56;IPS415;14;0;50
Consulta dolor cardiaco;22;10:05:45;07/01/2019 11:41:33;IPS331;14;0;50
Consulta dolor cardiaco;19;7:45:13;23/01/2018 01:41:34;IPS117;14;0;50
Examen de sangre;37;1:15:51;23/11/2010 04:33:41;IPS286;14;0;50
Consulta progreso de diabetes;25;5:56:54;30/08/2014 12:59:37;IPS311;14;0;50
Remisión cardiólogo;36;5:58:11;04/08/2016 07:56:12;IPS448;14;0;50
Consultas odontologicas;30;10:26:50;01/08/2018 07:49:06;IPS393;14;0;50
Remisión cardiólogo;40;12:52:58;19/12/2009 09:20:30;IPS320;14;0;50
Consultas medicas con especialistas;26;4:18:39;17/10/2012 02:09:10;IPS100;14;0;50
Jornadas de vacunacion;27;3:29:09;13/03/2018 03:53:49;IPS142;14;0;50
Consultas medicas con medico general;33;7:33:08;06/07/2017 11:40:36;IPS257;14;0;50
Remisión cardiólogo;33;5:00:41;24/06/2013 04:14:07;IPS381;14;0;50
Consultas medicas con medico general;40;7:25:24;11/04/2013 06:19:38;IPS37;14;0;50
Consulta dolor cardiaco;15;10:03:06;30/01/2016 12:49:04;IPS91;14;0;50
Radiografias;20;12:16:09;20/02/2012 12:32:59;IPS322;14;0;50
Consultas odontologicas;18;4:14:20;16/02/2017 09:31:08;IPS402;14;0;50
Consulta dolor cardiaco;39;10:54:27;21/11/2017 08:13:17;IPS86;14;0;50
Radiografias;38;10:04:37;14/02/2012 12:20:21;IPS234;14;0;50
Radiografias;30;10:15:47;27/01/2013 01:26:14;IPS185;14;0;50
Jornadas de vacunacion;43;8:58:43;21/11/2017 03:11:53;IPS405;14;0;50
Consultas odontologicas;21;8:31:56;21/12/2017 01:37:42;IPS467;14;0;50
Terapia post traumática;31;9:40:29;18/09/2018 12:00:55;IPS395;14;0;50
Consultas medicas con especialistas;27;11:12:22;22/12/2016 04:42:26;IPS184;14;0;50
Consultas medicas con especialistas;17;10:12:30;20/08/2011 12:10:36;IPS473;14;0;50
Consultas medicas con especialistas;31;11:34:22;06/07/2016 11:30:52;IPS464;14;0;50
Consultas medicas con medico general;32;10:34:07;17/02/2017 07:42:48;IPS489;14;0;50
Radiografias;34;11:22:49;06/08/2016 02:32:26;IPS424;14;0;50
Hospitalización por infarto;30;6:11:49;07/09/2018 08:37:48;IPS130;14;0;50
Consulta malestar general;26;10:29:54;11/04/2018 09:13:57;IPS52;14;0;50
Examenes de sangre;16;4:47:06;29/01/2018 09:15:04;IPS393;14;0;50
Consultas odontologicas;16;2:35:55;31/12/2014 08:37:11;IPS381;14;0;50
Radiografias;22;5:27:03;09/04/2018 05:18:56;IPS437;14;0;50
Examenes de sangre;32;4:32:25;09/04/2015 10:36:23;IPS132;14;0;50
Cirugía de corazón;21;2:44:47;14/10/2013 02:56:32;IPS64;14;0;50
Examen de sangre;40;10:14:53;23/08/2017 06:00:48;IPS359;14;0;50
Consulta progreso de diabetes;38;2:13:13;24/09/2019 06:38:25;IPS168;14;0;50
Cirugía de corazón;24;12:31:10;28/11/2017 09:15:22;IPS125;14;0;50
Consulta dolor cardiaco;22;8:53:26;29/03/2018 04:01:08;IPS491;14;0;50
Consultas odontologicas;27;2:46:40;15/09/2015 02:58:18;IPS91;14;0;50
Terapia post traumática;16;2:28:50;31/01/2010 03:23:24;IPS318;14;0;50
Consulta malestar general;40;8:10:37;07/09/2018 11:01:33;IPS144;14;0;50
Examen de sangre;34;1:28:42;06/09/2019 06:02:02;IPS120;14;0;50
Cirugía de corazón;26;12:40:41;04/11/2018 01:56:11;IPS172;14;0;50
Examenes de sangre;45;9:24:25;14/05/2019 07:56:25;IPS137;14;0;50
Consultas odontologicas;27;8:53:30;31/08/2017 12:32:36;IPS10;14;0;50
Jornadas de vacunacion;26;4:36:23;21/08/2013 06:37:37;IPS450;14;0;50
Consultas medicas con medico general;16;8:26:27;14/05/2019 01:11:19;IPS64;14;0;50
Remisión cardiólogo;28;2:12:16;10/09/2013 06:11:23;IPS289;14;0;50
Consulta dolor cardiaco;26;9:49:47;25/02/2018 02:21:19;IPS213;14;0;50
Consultas medicas con especialistas;28;6:41:07;02/03/2016 02:38:47;IPS379;14;0;50
Consultas medicas con medico general;31;1:39:14;21/08/2013 03:18:55;IPS10;14;0;50
Hospitalización por infarto;18;5:56:27;20/03/2018 12:45:30;IPS391;14;0;50
Examenes de sangre;41;6:52:33;22/06/2013 06:59:57;IPS277;14;0;50
Terapia post traumática;26;6:18:44;31/01/2018 03:22:27;IPS133;14;0;50
Radiografias;20;11:31:05;26/04/2018 05:04:20;IPS383;14;0;50
Consultas medicas con medico general;40;2:15:46;28/12/2010 01:39:36;IPS188;14;0;50
