ID_MEDICO,ID_IPS
850262,IPS211
850263,IPS209
850264,IPS364
850265,IPS498
850266,IPS60
850267,IPS265
850268,IPS494
850269,IPS151
850270,IPS382
850271,IPS407
850272,IPS271
850273,IPS51
850274,IPS30
850275,IPS400
850276,IPS144
850277,IPS350
850278,IPS102
850279,IPS299
850280,IPS54
850281,IPS134
850282,IPS342
850283,IPS216
850284,IPS83
850285,IPS217
850286,IPS211
850287,IPS307
850288,IPS37
850289,IPS23
850290,IPS352
850291,IPS231
850292,IPS310
850293,IPS396
850294,IPS188
850295,IPS489
850296,IPS201
850297,IPS146
850298,IPS91
850299,IPS256
850300,IPS272
850301,IPS124
850302,IPS210
850303,IPS33
850304,IPS119
850305,IPS66
850306,IPS256
850307,IPS323
850308,IPS385
850309,IPS198
850310,IPS499
850311,IPS77
850312,IPS124
850313,IPS63
850314,IPS29
850315,IPS3
850316,IPS449
850317,IPS88
850318,IPS194
850319,IPS40
850320,IPS53
850321,IPS92
850322,IPS240
850323,IPS439
850324,IPS168
850325,IPS375
850326,IPS25
850327,IPS227
850328,IPS491
850329,IPS416
850330,IPS111
850331,IPS461
850332,IPS226
850333,IPS16
850334,IPS277
850335,IPS108
850336,IPS148
850337,IPS398
850338,IPS113
850339,IPS206
850340,IPS70
850341,IPS291
850342,IPS43
850343,IPS487
850344,IPS398
850345,IPS295
850346,IPS473
850347,IPS420
850348,IPS83
850349,IPS264
850350,IPS482
850351,IPS25
850352,IPS381
850353,IPS376
850354,IPS60
850355,IPS103
850356,IPS489
850357,IPS58
850358,IPS162
850359,IPS450
850360,IPS170
850361,IPS433
850362,IPS17
850363,IPS497
850364,IPS116
850365,IPS235
850366,IPS174
850367,IPS170
850368,IPS407
850369,IPS184
850370,IPS135
850371,IPS500
850372,IPS119
850373,IPS458
850374,IPS426
850375,IPS175
850376,IPS269
850377,IPS168
850378,IPS481
850379,IPS48
850380,IPS405
850381,IPS155
850382,IPS1
850383,IPS229
850384,IPS122
850385,IPS455
850386,IPS380
850387,IPS307
850388,IPS74
850389,IPS296
850390,IPS83
850391,IPS49
850392,IPS37
850393,IPS118
850394,IPS487
850395,IPS89
850396,IPS139
850397,IPS351
850398,IPS141
850399,IPS362
850400,IPS226
850401,IPS151
850402,IPS159
850403,IPS344
850404,IPS331
850405,IPS79
850406,IPS409
850407,IPS176
850408,IPS55
850409,IPS74
850410,IPS429
850411,IPS356
850412,IPS397
850413,IPS239
850414,IPS156
850415,IPS489
850416,IPS235
850417,IPS377
850418,IPS148
850419,IPS407
850420,IPS17
850421,IPS462
850422,IPS293
850423,IPS445
850424,IPS146
850425,IPS6
850426,IPS407
850427,IPS103
850428,IPS118
850429,IPS94
850430,IPS376
850431,IPS7
850432,IPS61
850433,IPS125
850434,IPS207
850435,IPS370
850436,IPS87
850437,IPS465
850438,IPS268
850439,IPS298
850440,IPS117
850441,IPS306
850442,IPS439
850443,IPS211
850444,IPS456
850445,IPS316
850446,IPS469
850447,IPS58
850448,IPS127
850449,IPS467
850450,IPS45
850451,IPS324
850452,IPS153
850453,IPS232
850454,IPS10
850455,IPS351
850456,IPS78
850457,IPS350
850458,IPS61
850459,IPS162
850460,IPS37
850461,IPS101
850462,IPS165
850463,IPS46
850464,IPS343
850465,IPS334
850466,IPS452
850467,IPS179
850468,IPS464
850469,IPS478
850470,IPS429
850471,IPS308
850472,IPS115
850473,IPS80
850474,IPS335
850475,IPS290
850476,IPS256
850477,IPS286
850478,IPS199
850479,IPS188
850480,IPS296
850481,IPS160
850482,IPS106
850483,IPS467
850484,IPS16
850485,IPS388
850486,IPS190
850487,IPS230
850488,IPS196
850489,IPS309
850490,IPS208
850491,IPS78
850492,IPS443
850493,IPS3
850494,IPS397
850495,IPS112
850496,IPS369
850497,IPS274
850498,IPS183
850499,IPS133
850500,IPS393
850501,IPS72
850502,IPS101
850503,IPS166
850504,IPS492
850505,IPS460
850506,IPS89
850507,IPS287
850508,IPS414
850509,IPS495
850510,IPS263
850511,IPS398
850512,IPS144
850513,IPS469
850514,IPS240
850515,IPS211
850516,IPS385
850517,IPS123
850518,IPS268
850519,IPS127
850520,IPS328
850521,IPS481
850522,IPS54
850523,IPS366
850524,IPS190
850525,IPS249
850526,IPS295
850527,IPS31
850528,IPS410
850529,IPS265
850530,IPS464
850531,IPS332
850532,IPS52
850533,IPS495
850534,IPS204
850535,IPS182
850536,IPS366
850537,IPS232
850538,IPS80
850539,IPS236
850540,IPS406
850541,IPS197
850542,IPS300
850543,IPS429
850544,IPS210
850545,IPS48
850546,IPS494
850547,IPS219
850548,IPS500
850549,IPS258
850550,IPS340
850551,IPS462
850552,IPS456
850553,IPS148
850554,IPS343
850555,IPS326
850556,IPS226
850557,IPS459
850558,IPS279
850559,IPS218
850560,IPS71
850561,IPS380
850562,IPS118
850563,IPS441
850564,IPS94
850565,IPS216
850566,IPS486
850567,IPS460
850568,IPS439
850569,IPS15
850570,IPS108
850571,IPS439
850572,IPS5
850573,IPS430
850574,IPS275
850575,IPS239
850576,IPS128
850577,IPS350
850578,IPS159
850579,IPS291
850580,IPS74
850581,IPS306
850582,IPS32
850583,IPS147
850584,IPS395
850585,IPS295
850586,IPS284
850587,IPS146
850588,IPS489
850589,IPS289
850590,IPS210
850591,IPS9
850592,IPS235
850593,IPS239
850594,IPS335
850595,IPS395
850596,IPS336
850597,IPS54
850598,IPS159
850599,IPS143
850600,IPS392
850601,IPS221
850602,IPS50
850603,IPS336
850604,IPS121
850605,IPS223
850606,IPS361
850607,IPS122
850608,IPS127
850609,IPS248
850610,IPS471
850611,IPS459
850612,IPS120
850613,IPS90
850614,IPS191
850615,IPS119
850616,IPS238
850617,IPS271
850618,IPS286
850619,IPS226
850620,IPS261
850621,IPS98
850622,IPS151
850623,IPS465
850624,IPS237
850625,IPS138
850626,IPS336
850627,IPS474
850628,IPS356
850629,IPS494
850630,IPS471
850631,IPS455
850632,IPS6
850633,IPS437
850634,IPS91
850635,IPS243
850636,IPS346
850637,IPS263
850638,IPS277
850639,IPS182
850640,IPS273
850641,IPS31
850642,IPS30
850643,IPS276
850644,IPS429
850645,IPS368
850646,IPS239
850647,IPS377
850648,IPS479
850649,IPS280
850650,IPS491
850651,IPS183
850652,IPS156
850653,IPS151
850654,IPS365
850655,IPS63
850656,IPS123
850657,IPS247
850658,IPS36
850659,IPS340
850660,IPS476
850661,IPS456
850662,IPS71
850663,IPS30
850664,IPS168
850665,IPS20
850666,IPS208
850667,IPS41
850668,IPS219
850669,IPS166
850670,IPS362
850671,IPS72
850672,IPS399
850673,IPS56
850674,IPS238
850675,IPS479
850676,IPS264
850677,IPS239
850678,IPS251
850679,IPS160
850680,IPS87
850681,IPS108
850682,IPS236
850683,IPS332
850684,IPS36
850685,IPS235
850686,IPS33
850687,IPS364
850688,IPS320
850689,IPS490
850690,IPS138
850691,IPS391
850692,IPS379
850693,IPS458
850694,IPS364
850695,IPS64
850696,IPS267
850697,IPS75
850698,IPS310
850699,IPS97
850700,IPS383
850701,IPS432
850702,IPS290
850703,IPS128
850704,IPS236
850705,IPS162
850706,IPS177
850707,IPS230
850708,IPS17
850709,IPS432
850710,IPS241
850711,IPS174
850712,IPS461
850713,IPS473
850714,IPS303
850715,IPS45
850716,IPS256
850717,IPS301
850718,IPS96
850719,IPS295
850720,IPS449
850721,IPS205
850722,IPS489
850723,IPS143
850724,IPS177
850725,IPS109
850726,IPS31
850727,IPS67
850728,IPS301
850729,IPS394
850730,IPS193
850731,IPS151
850732,IPS290
850733,IPS493
850734,IPS74
850735,IPS119
850736,IPS281
850737,IPS407
850738,IPS38
850739,IPS391
850740,IPS406
850741,IPS57
850742,IPS356
850743,IPS493
850744,IPS166
850745,IPS402
850746,IPS181
850747,IPS81
850748,IPS345
850749,IPS397
850750,IPS432
850751,IPS441
850752,IPS192
850753,IPS372
850754,IPS66
850755,IPS292
850756,IPS389
850757,IPS165
850758,IPS348
850759,IPS145
850760,IPS267
850761,IPS264
850762,IPS305
850763,IPS162
850764,IPS56
850765,IPS78
850766,IPS193
850767,IPS124
850768,IPS85
850769,IPS169
850770,IPS196
850771,IPS342
850772,IPS148
850773,IPS167
850774,IPS286
850775,IPS280
850776,IPS268
850777,IPS59
850778,IPS252
850779,IPS231
850780,IPS202
850781,IPS412
850782,IPS222
850783,IPS270
850784,IPS294
850785,IPS401
850786,IPS108
850787,IPS425
850788,IPS113
850789,IPS410
850790,IPS291
850791,IPS391
850792,IPS323
850793,IPS153
850794,IPS119
850795,IPS88
850796,IPS6
850797,IPS57
850798,IPS358
850799,IPS148
850800,IPS174
850801,IPS295
850802,IPS346
850803,IPS71
850804,IPS25
850805,IPS186
850806,IPS154
850807,IPS60
850808,IPS86
850809,IPS92
850810,IPS301
850811,IPS72
850812,IPS259
850813,IPS244
850814,IPS246
850815,IPS392
850816,IPS51
850817,IPS283
850818,IPS384
850819,IPS196
850820,IPS445
850821,IPS327
850822,IPS262
850823,IPS340
850824,IPS85
850825,IPS364
850826,IPS27
850827,IPS320
850828,IPS416
850829,IPS75
850830,IPS251
850831,IPS414
850832,IPS316
850833,IPS289
850834,IPS66
850835,IPS367
850836,IPS71
850837,IPS499
850838,IPS48
850839,IPS413
850840,IPS211
850841,IPS412
850842,IPS75
850843,IPS82
850844,IPS78
850845,IPS340
850846,IPS426
850847,IPS163
850848,IPS410
850849,IPS392
850850,IPS74
850851,IPS110
850852,IPS61
850853,IPS269
850854,IPS26
850855,IPS256
850856,IPS122
850857,IPS285
850858,IPS305
850859,IPS344
850860,IPS5
850861,IPS194
850862,IPS360
850863,IPS181
850864,IPS32
850865,IPS167
850866,IPS212
850867,IPS310
850868,IPS395
850869,IPS146
850870,IPS48
850871,IPS58
850872,IPS274
850873,IPS333
850874,IPS152
850875,IPS104
850876,IPS145
850877,IPS434
850878,IPS91
850879,IPS170
850880,IPS216
850881,IPS345
850882,IPS288
850883,IPS70
850884,IPS247
850885,IPS222
850886,IPS386
850887,IPS460
850888,IPS305
850889,IPS476
850890,IPS270
850891,IPS169
850892,IPS90
850893,IPS35
850894,IPS376
850895,IPS436
850896,IPS75
850897,IPS211
850898,IPS366
850899,IPS418
850900,IPS29
850901,IPS65
850902,IPS305
850903,IPS263
850904,IPS384
850905,IPS197
850906,IPS175
850907,IPS389
850908,IPS460
850909,IPS365
850910,IPS109
850911,IPS194
850912,IPS144
850913,IPS265
850914,IPS334
850915,IPS160
850916,IPS194
850917,IPS498
850918,IPS359
850919,IPS463
850920,IPS183
850921,IPS119
850922,IPS293
850923,IPS50
850924,IPS284
850925,IPS68
850926,IPS401
850927,IPS174
850928,IPS500
850929,IPS437
850930,IPS267
850931,IPS277
850932,IPS412
850933,IPS63
850934,IPS434
850935,IPS96
850936,IPS278
850937,IPS459
850938,IPS236
850939,IPS469
850940,IPS485
850941,IPS327
850942,IPS489
850943,IPS92
850944,IPS354
850945,IPS143
850946,IPS416
850947,IPS392
850948,IPS340
850949,IPS56
850950,IPS165
850951,IPS335
850952,IPS378
850953,IPS277
850954,IPS323
850955,IPS143
850956,IPS323
850957,IPS491
850958,IPS215
850959,IPS83
850960,IPS494
850961,IPS14
850962,IPS231
850963,IPS315
850964,IPS109
850965,IPS442
850966,IPS134
850967,IPS500
850968,IPS369
850969,IPS452
850970,IPS4
850971,IPS288
850972,IPS171
850973,IPS125
850974,IPS140
850975,IPS489
850976,IPS355
850977,IPS401
850978,IPS408
850979,IPS107
850980,IPS208
850981,IPS414
850982,IPS136
850983,IPS96
850984,IPS11
850985,IPS104
850986,IPS202
850987,IPS293
850988,IPS12
850989,IPS68
850990,IPS287
850991,IPS407
850992,IPS162
850993,IPS221
850994,IPS376
850995,IPS35
850996,IPS201
850997,IPS109
850998,IPS229
850999,IPS257
851000,IPS126
851001,IPS232
851002,IPS399
851003,IPS465
851004,IPS118
851005,IPS228
851006,IPS198
851007,IPS165
851008,IPS70
851009,IPS157
851010,IPS401
851011,IPS247
851012,IPS402
851013,IPS426
851014,IPS17
851015,IPS355
851016,IPS353
851017,IPS2
851018,IPS317
851019,IPS216
851020,IPS73
851021,IPS219
851022,IPS134
851023,IPS463
851024,IPS18
851025,IPS314
851026,IPS463
851027,IPS142
851028,IPS41
851029,IPS114
851030,IPS336
851031,IPS436
851032,IPS76
851033,IPS262
851034,IPS350
851035,IPS111
851036,IPS148
851037,IPS32
851038,IPS238
851039,IPS140
851040,IPS99
851041,IPS496
851042,IPS383
851043,IPS215
851044,IPS32
851045,IPS88
851046,IPS116
851047,IPS169
851048,IPS219
851049,IPS260
851050,IPS123
851051,IPS362
851052,IPS463
851053,IPS120
851054,IPS383
851055,IPS90
851056,IPS167
851057,IPS384
851058,IPS351
851059,IPS415
851060,IPS498
851061,IPS346
851062,IPS342
851063,IPS201
851064,IPS403
851065,IPS60
851066,IPS242
851067,IPS353
851068,IPS469
851069,IPS343
851070,IPS499
851071,IPS1
851072,IPS162
851073,IPS260
851074,IPS338
851075,IPS288
851076,IPS337
851077,IPS427
851078,IPS150
851079,IPS124
851080,IPS439
851081,IPS436
851082,IPS167
851083,IPS462
851084,IPS376
851085,IPS299
851086,IPS226
851087,IPS443
851088,IPS192
851089,IPS330
851090,IPS341
851091,IPS452
851092,IPS314
851093,IPS88
851094,IPS379
851095,IPS58
851096,IPS479
851097,IPS238
851098,IPS331
851099,IPS129
851100,IPS319
851101,IPS126
851102,IPS9
851103,IPS442
851104,IPS242
851105,IPS70
851106,IPS73
851107,IPS100
851108,IPS75
851109,IPS17
851110,IPS169
851111,IPS385
851112,IPS397
851113,IPS243
851114,IPS238
851115,IPS451
851116,IPS230
851117,IPS249
851118,IPS355
851119,IPS72
851120,IPS47
851121,IPS452
851122,IPS463
851123,IPS29
851124,IPS434
851125,IPS367
851126,IPS353
851127,IPS489
851128,IPS413
851129,IPS191
851130,IPS155
851131,IPS463
851132,IPS91
851133,IPS253
851134,IPS117
851135,IPS195
851136,IPS60
851137,IPS41
851138,IPS124
851139,IPS467
851140,IPS456
851141,IPS420
851142,IPS284
851143,IPS495
851144,IPS85
851145,IPS231
851146,IPS401
851147,IPS410
851148,IPS20
851149,IPS384
851150,IPS88
851151,IPS470
851152,IPS157
851153,IPS373
851154,IPS100
851155,IPS460
851156,IPS365
851157,IPS385
851158,IPS86
851159,IPS182
851160,IPS53
851161,IPS431
851162,IPS244
851163,IPS83
851164,IPS109
851165,IPS38
851166,IPS55
851167,IPS60
851168,IPS464
851169,IPS96
851170,IPS461
851171,IPS28
851172,IPS369
851173,IPS416
851174,IPS460
851175,IPS343
851176,IPS365
851177,IPS66
851178,IPS356
851179,IPS455
851180,IPS301
851181,IPS283
851182,IPS179
851183,IPS216
851184,IPS478
851185,IPS233
851186,IPS445
851187,IPS87
851188,IPS461
851189,IPS337
851190,IPS363
851191,IPS300
851192,IPS449
851193,IPS23
851194,IPS212
851195,IPS336
851196,IPS332
851197,IPS127
851198,IPS239
851199,IPS86
851200,IPS441
851201,IPS106
851202,IPS155
851203,IPS143
851204,IPS47
851205,IPS108
851206,IPS439
851207,IPS441
851208,IPS163
851209,IPS51
851210,IPS188
851211,IPS21
851212,IPS482
851213,IPS387
851214,IPS304
851215,IPS458
851216,IPS246
851217,IPS421
851218,IPS263
851219,IPS95
851220,IPS192
851221,IPS6
851222,IPS417
851223,IPS69
851224,IPS13
851225,IPS360
851226,IPS3
851227,IPS14
851228,IPS473
851229,IPS311
851230,IPS488
851231,IPS366
851232,IPS16
851233,IPS350
851234,IPS2
851235,IPS493
851236,IPS471
851237,IPS177
851238,IPS181
851239,IPS90
851240,IPS179
851241,IPS251
851242,IPS480
851243,IPS6
851244,IPS285
851245,IPS418
851246,IPS366
851247,IPS266
851248,IPS52
851249,IPS360
851250,IPS274
851251,IPS92
851252,IPS411
851253,IPS342
851254,IPS178
851255,IPS240
851256,IPS258
851257,IPS170
851258,IPS263
851259,IPS159
851260,IPS6
851261,IPS78
851262,IPS107
851263,IPS152
851264,IPS416
851265,IPS3
851266,IPS434
851267,IPS12
851268,IPS470
851269,IPS422
851270,IPS186
851271,IPS426
851272,IPS208
851273,IPS180
851274,IPS388
851275,IPS171
851276,IPS71
851277,IPS465
851278,IPS491
851279,IPS98
851280,IPS243
851281,IPS26
851282,IPS316
851283,IPS145
851284,IPS418
851285,IPS76
851286,IPS386
851287,IPS107
851288,IPS151
851289,IPS178
851290,IPS218
851291,IPS28
851292,IPS222
851293,IPS58
851294,IPS450
851295,IPS12
851296,IPS9
851297,IPS110
851298,IPS300
851299,IPS157
851300,IPS356
851301,IPS228
851302,IPS265
851303,IPS157
851304,IPS378
851305,IPS289
851306,IPS126
851307,IPS291
851308,IPS356
851309,IPS11
851310,IPS270
851311,IPS352
851312,IPS444
851313,IPS404
851314,IPS240
851315,IPS38
851316,IPS315
851317,IPS361
851318,IPS25
851319,IPS303
851320,IPS312
851321,IPS14
851322,IPS41
851323,IPS176
851324,IPS292
851325,IPS55
851326,IPS121
851327,IPS486
851328,IPS59
851329,IPS223
851330,IPS51
851331,IPS157
851332,IPS308
851333,IPS355
851334,IPS88
851335,IPS408
851336,IPS453
851337,IPS461
851338,IPS151
851339,IPS344
851340,IPS270
851341,IPS146
851342,IPS307
851343,IPS189
851344,IPS160
851345,IPS139
851346,IPS190
851347,IPS222
851348,IPS235
851349,IPS95
851350,IPS412
851351,IPS477
851352,IPS85
851353,IPS116
851354,IPS310
851355,IPS426
851356,IPS118
851357,IPS208
851358,IPS496
851359,IPS153
851360,IPS326
851361,IPS125
851362,IPS179
851363,IPS472
851364,IPS266
851365,IPS2
851366,IPS419
851367,IPS238
851368,IPS131
851369,IPS168
851370,IPS268
851371,IPS289
851372,IPS103
851373,IPS437
851374,IPS249
851375,IPS334
851376,IPS58
851377,IPS138
851378,IPS380
851379,IPS79
851380,IPS160
851381,IPS87
851382,IPS32
851383,IPS62
851384,IPS243
851385,IPS139
851386,IPS117
851387,IPS444
851388,IPS305
851389,IPS204
851390,IPS464
851391,IPS112
851392,IPS394
851393,IPS2
851394,IPS486
851395,IPS267
851396,IPS335
851397,IPS112
851398,IPS485
851399,IPS21
851400,IPS335
851401,IPS46
851402,IPS180
851403,IPS399
851404,IPS88
851405,IPS184
851406,IPS279
851407,IPS370
851408,IPS227
851409,IPS164
851410,IPS284
851411,IPS49
851412,IPS25
851413,IPS400
851414,IPS252
851415,IPS47
851416,IPS70
851417,IPS268
851418,IPS39
851419,IPS497
851420,IPS402
851421,IPS280
851422,IPS442
851423,IPS137
851424,IPS450
851425,IPS241
851426,IPS404
851427,IPS166
851428,IPS488
851429,IPS416
851430,IPS445
851431,IPS20
851432,IPS142
851433,IPS31
851434,IPS289
851435,IPS232
851436,IPS189
851437,IPS136
851438,IPS221
851439,IPS421
851440,IPS93
851441,IPS360
851442,IPS162
851443,IPS221
851444,IPS374
851445,IPS468
851446,IPS101
851447,IPS5
851448,IPS410
851449,IPS412
851450,IPS432
851451,IPS59
851452,IPS301
851453,IPS110
851454,IPS481
851455,IPS493
851456,IPS7
851457,IPS400
851458,IPS444
851459,IPS31
851460,IPS434
851461,IPS487
851462,IPS499
851463,IPS144
851464,IPS72
851465,IPS314
851466,IPS302
851467,IPS416
851468,IPS237
851469,IPS276
851470,IPS377
851471,IPS163
851472,IPS431
851473,IPS125
851474,IPS397
851475,IPS280
851476,IPS105
851477,IPS31
851478,IPS483
851479,IPS80
851480,IPS357
851481,IPS119
851482,IPS79
851483,IPS222
851484,IPS48
851485,IPS134
851486,IPS428
851487,IPS443
851488,IPS33
851489,IPS370
851490,IPS496
851491,IPS252
851492,IPS99
851493,IPS469
851494,IPS369
851495,IPS481
851496,IPS133
851497,IPS20
851498,IPS415
851499,IPS73
851500,IPS146
851501,IPS359
851502,IPS433
851503,IPS347
851504,IPS145
851505,IPS472
851506,IPS164
851507,IPS251
851508,IPS416
851509,IPS317
851510,IPS79
851511,IPS97
851512,IPS148
851513,IPS91
851514,IPS260
851515,IPS151
851516,IPS83
851517,IPS304
851518,IPS195
851519,IPS304
851520,IPS346
851521,IPS354
851522,IPS130
851523,IPS412
851524,IPS151
851525,IPS100
851526,IPS6
851527,IPS56
851528,IPS458
851529,IPS138
851530,IPS150
851531,IPS307
851532,IPS368
851533,IPS83
851534,IPS267
851535,IPS392
851536,IPS56
851537,IPS296
851538,IPS153
851539,IPS450
851540,IPS321
851541,IPS313
851542,IPS316
851543,IPS406
851544,IPS188
851545,IPS193
851546,IPS389
851547,IPS287
851548,IPS261
851549,IPS8
851550,IPS38
851551,IPS235
851552,IPS244
851553,IPS5
851554,IPS338
851555,IPS377
851556,IPS254
851557,IPS460
851558,IPS322
851559,IPS186
851560,IPS44
851561,IPS81
851562,IPS225
851563,IPS385
851564,IPS160
851565,IPS402
851566,IPS107
851567,IPS351
851568,IPS103
851569,IPS415
851570,IPS73
851571,IPS261
851572,IPS360
851573,IPS255
851574,IPS398
851575,IPS185
851576,IPS282
851577,IPS474
851578,IPS383
851579,IPS441
851580,IPS339
851581,IPS331
851582,IPS390
851583,IPS423
851584,IPS432
851585,IPS306
851586,IPS484
851587,IPS225
851588,IPS298
851589,IPS433
851590,IPS271
851591,IPS66
851592,IPS365
851593,IPS423
851594,IPS114
851595,IPS158
851596,IPS121
851597,IPS275
851598,IPS163
851599,IPS166
851600,IPS41
851601,IPS335
851602,IPS477
851603,IPS78
851604,IPS233
851605,IPS422
851606,IPS228
851607,IPS471
851608,IPS206
851609,IPS432
851610,IPS397
851611,IPS411
851612,IPS385
851613,IPS92
851614,IPS17
851615,IPS387
851616,IPS116
851617,IPS154
851618,IPS389
851619,IPS25
851620,IPS369
851621,IPS289
851622,IPS213
851623,IPS494
851624,IPS314
851625,IPS178
851626,IPS494
851627,IPS91
851628,IPS146
851629,IPS486
851630,IPS238
851631,IPS223
851632,IPS366
851633,IPS123
851634,IPS415
851635,IPS308
851636,IPS385
851637,IPS122
851638,IPS191
851639,IPS114
851640,IPS344
851641,IPS222
851642,IPS122
851643,IPS231
851644,IPS208
851645,IPS238
851646,IPS489
851647,IPS40
851648,IPS176
851649,IPS142
851650,IPS425
851651,IPS337
851652,IPS210
851653,IPS422
851654,IPS401
851655,IPS33
851656,IPS281
851657,IPS350
851658,IPS381
851659,IPS231
851660,IPS407
851661,IPS396
851662,IPS221
851663,IPS291
851664,IPS350
851665,IPS38
851666,IPS207
851667,IPS3
851668,IPS219
851669,IPS319
851670,IPS386
851671,IPS380
851672,IPS97
851673,IPS103
851674,IPS36
851675,IPS481
851676,IPS416
851677,IPS385
851678,IPS325
851679,IPS116
851680,IPS344
851681,IPS103
851682,IPS75
851683,IPS247
851684,IPS419
851685,IPS162
851686,IPS173
851687,IPS252
851688,IPS377
851689,IPS140
851690,IPS429
851691,IPS194
851692,IPS361
851693,IPS368
851694,IPS319
851695,IPS157
851696,IPS320
851697,IPS184
851698,IPS269
851699,IPS329
851700,IPS86
851701,IPS458
851702,IPS66
851703,IPS237
851704,IPS281
851705,IPS488
851706,IPS374
851707,IPS398
851708,IPS469
851709,IPS213
851710,IPS456
851711,IPS487
851712,IPS182
851713,IPS223
851714,IPS139
851715,IPS457
851716,IPS100
851717,IPS395
851718,IPS32
851719,IPS107
851720,IPS81
851721,IPS191
851722,IPS471
851723,IPS41
851724,IPS98
851725,IPS325
851726,IPS379
851727,IPS158
851728,IPS415
851729,IPS191
851730,IPS368
851731,IPS120
851732,IPS12
851733,IPS289
851734,IPS464
851735,IPS211
851736,IPS457
851737,IPS479
851738,IPS149
851739,IPS453
851740,IPS269
851741,IPS262
851742,IPS337
851743,IPS41
851744,IPS69
851745,IPS64
